X1,X2,X3,X4,X5,X6,X7,Y
550,0,165,550,1283,1.02,1,22
550,0,165,550,1283,1.02,3,43.5
550,0,165,550,1283,1.02,7,53.6
550,0,165,550,1283,1.02,28,63.5
550,0,165,550,1283,1.02,90,71.7
495,55,165,546,1273,1.05,1,22.7
495,55,165,546,1273,1.05,3,47.9
495,55,165,546,1273,1.05,7,60.6
495,55,165,546,1273,1.05,28,72.8
495,55,165,546,1273,1.05,90,83.2
468,82,165,543,1267,1.11,1,22.9
468,82,165,543,1267,1.11,3,49
468,82,165,543,1267,1.11,7,62.5
468,82,165,543,1267,1.11,28,75.1
468,82,165,543,1267,1.11,90,84.9
440,110,165,540,1261,1.15,1,23.1
440,110,165,540,1261,1.15,3,51.5
440,110,165,540,1261,1.15,7,64.3
440,110,165,540,1261,1.15,28,78.2
440,110,165,540,1261,1.15,90,86.8
500,0,160,567,1324,1.1,1,20.9
500,0,160,567,1324,1.1,3,41.3
500,0,160,567,1324,1.1,7,51
500,0,160,567,1324,1.1,28,59.6
500,0,160,567,1324,1.1,90,66.8
450,50,160,562,1313,1.14,1,21.7
450,50,160,562,1313,1.14,3,45.8
450,50,160,562,1313,1.14,7,58
450,50,160,562,1313,1.14,28,68.8
450,50,160,562,1313,1.14,90,78.2
425,75,160,560,1307,1.2,1,21.8
425,75,160,560,1307,1.2,3,46.5
425,75,160,560,1307,1.2,7,61.2
425,75,160,560,1307,1.2,28,72.2
425,75,160,560,1307,1.2,90,81.5
400,100,160,558,1301,1.24,1,22
400,100,160,558,1301,1.24,3,48.7
400,100,160,558,1301,1.24,7,61.8
400,100,160,558,1301,1.24,28,72.7
400,100,160,558,1301,1.24,90,82.2
500,0,170,560,1305,1,1,18.9
500,0,170,560,1305,1,3,39.9
500,0,170,560,1305,1,7,49.8
500,0,170,560,1305,1,28,57.9
500,0,170,560,1305,1,90,64.9
450,50,170,555,1294,1,1,19.5
450,50,170,555,1294,1,3,44.3
450,50,170,555,1294,1,7,56.8
450,50,170,555,1294,1,28,66.6
450,50,170,555,1294,1,90,75.6
425,75,170,553,1290,1,1,19.7
425,75,170,553,1290,1,3,45.2
425,75,170,553,1290,1,7,57.6
425,75,170,553,1290,1,28,67.2
425,75,170,553,1290,1,90,75.8
400,100,170,551,1285,1,1,20.1
400,100,170,551,1285,1,3,46.9
400,100,170,551,1285,1,7,59.1
400,100,170,551,1285,1,28,69.3
400,100,170,551,1285,1,90,77.2
550,0,165,550,1283,1.2,1,39.7
550,0,165,550,1283,1.2,3,67.2
550,0,165,550,1283,1.2,7,78.9
550,0,165,550,1283,1.2,28,88.5
550,0,165,550,1283,1.2,90,97.1
495,55,165,546,1273,1.24,1,34.7
495,55,165,546,1273,1.24,3,60.8
495,55,165,546,1273,1.24,7,83.6
495,55,165,546,1273,1.24,28,95.2
495,55,165,546,1273,1.24,90,104.1
468,82,165,543,1267,1.31,1,35.3
468,82,165,543,1267,1.31,3,63.2
468,82,165,543,1267,1.31,7,85.4
468,82,165,543,1267,1.31,28,96
468,82,165,543,1267,1.31,90,104.4
440,110,165,540,1261,1.35,1,37.5
440,110,165,540,1261,1.35,3,66.5
440,110,165,540,1261,1.35,7,86
440,110,165,540,1261,1.35,28,98.1
440,110,165,540,1261,1.35,90,106.5
500,0,160,567,1324,1.3,1,37.8
500,0,160,567,1324,1.3,3,63.9
500,0,160,567,1324,1.3,7,76.4
500,0,160,567,1324,1.3,28,85.7
500,0,160,567,1324,1.3,90,94
450,50,160,562,1313,1.35,1,32.1
450,50,160,562,1313,1.35,3,58.9
450,50,160,562,1313,1.35,7,80.6
450,50,160,562,1313,1.35,28,91.6
450,50,160,562,1313,1.35,90,100.3
425,75,160,560,1307,1.42,1,33.8
425,75,160,560,1307,1.42,3,59.2
425,75,160,560,1307,1.42,7,81.9
425,75,160,560,1307,1.42,28,93.4
425,75,160,560,1307,1.42,90,101.8
400,100,160,558,1301,1.47,1,34.2
400,100,160,558,1301,1.47,3,60.7
400,100,160,558,1301,1.47,7,82.8
400,100,160,558,1301,1.47,28,94.3
400,100,160,558,1301,1.47,90,103.3
500,0,170,560,1305,1.28,1,35.5
500,0,170,560,1305,1.28,3,61.7
500,0,170,560,1305,1.28,7,73.8
500,0,170,560,1305,1.28,28,82.8
500,0,170,560,1305,1.28,90,90.5
450,50,170,555,1294,1.28,1,29.9
450,50,170,555,1294,1.28,3,57.6
450,50,170,555,1294,1.28,7,78.9
450,50,170,555,1294,1.28,28,89.7
450,50,170,555,1294,1.28,90,98.5
425,75,170,553,1290,1.28,1,32.6
425,75,170,553,1290,1.28,3,57.3
425,75,170,553,1290,1.28,7,79.2
425,75,170,553,1290,1.28,28,90.3
425,75,170,553,1290,1.28,90,99.1
400,100,170,551,1285,1.28,1,31.1
400,100,170,551,1285,1.28,3,59.2
400,100,170,551,1285,1.28,7,80.3
400,100,170,551,1285,1.28,28,91.1
400,100,170,551,1285,1.28,90,100.1
325,0,205,900,940,0,1,11.6
325,0,205,900,940,0,3,17.7
325,0,205,900,940,0,7,20.8
325,0,205,900,940,0,28,31.7
325,0,205,900,940,0,90,33.6
325,0,205,900,940,0,180,35.9
260,65,221,894,930,0,1,12.2
260,65,221,894,930,0,3,16
260,65,221,894,930,0,7,18.7
260,65,221,894,930,0,28,30.3
260,65,221,894,930,0,90,32.5
260,65,221,894,930,0,180,34.4
228,97,228,890,927,0,1,9.2
228,97,228,890,927,0,3,12.2
228,97,228,890,927,0,7,15.5
228,97,228,890,927,0,28,30
228,97,228,890,927,0,90,30.1
228,97,228,890,927,0,180,30.1
325,0,205,900,940,0.4,1,10.8
325,0,205,900,940,0.4,3,19.1
325,0,205,900,940,0.4,7,27.8
325,0,205,900,940,0.4,28,37.8
325,0,205,900,940,0.4,90,44.7
325,0,205,900,940,0.4,180,45.8
260,65,205,900,940,1,1,12.8
260,65,205,900,940,1,3,18.6
260,65,205,900,940,1,7,22.8
260,65,205,900,940,1,28,32
260,65,205,900,940,1,90,37.6
260,65,205,900,940,1,180,37.6
228,97,205,900,940,1.61,1,11.4
228,97,205,900,940,1.61,3,15.7
228,97,205,900,940,1.61,7,25.1
228,97,205,900,940,1.61,28,30.1
228,97,205,900,940,1.61,90,33.7
228,97,205,900,940,1.61,180,35
534,0,170.88,690,1050,0.4,7,49.37
534,0,170.88,690,1050,0.4,28,56.61
534,0,170.88,690,1050,0.4,91,61.81
481,48.1,169.312,690,1050,0.2,7,52.12
481,48.1,169.312,690,1050,0.2,28,61.61
481,48.1,169.312,690,1050,0.2,91,65.59
481,48.1,169.312,690,1050,0.7,7,45.19
481,48.1,169.312,690,1050,0.7,28,55.9
481,48.1,169.312,690,1050,0.7,91,63.95
427,85.4,163.968,690,1050,0.2,7,40.29
427,85.4,163.968,690,1050,0.2,28,52.43
427,85.4,163.968,690,1050,0.2,91,65.79
427,85.4,163.968,690,1050,0.8,7,31.11
427,85.4,163.968,690,1050,0.8,28,48.35
427,85.4,163.968,690,1050,0.8,91,69.87
462,0,184.8,723,1018,0.1,7,36.52
462,0,184.8,723,1018,0.1,28,43.15
462,0,184.8,723,1018,0.1,91,46.51
416,41.6,183.04,723,1018,0.2,7,41.92
416,41.6,183.04,723,1018,0.2,28,51.41
416,41.6,183.04,723,1018,0.2,91,56
416,41.6,183.04,723,1018,0.27,7,28.46
416,41.6,183.04,723,1018,0.27,28,41.51
416,41.6,183.04,723,1018,0.27,91,52.43
370,74,177.6,723,1018,0.4,7,30.29
370,74,177.6,723,1018,0.4,28,41.62
370,74,177.6,723,1018,0.4,91,52.53
370,74,177.6,723,1018,0.5,7,24.07
370,74,177.6,723,1018,0.5,28,40.19
370,74,177.6,723,1018,0.5,91,58.45
408,0,204,758,983,0,7,25.09
408,0,204,758,983,0,28,33.56
408,0,204,758,983,0,91,36.62
367,36.7,201.85,758,983,0,7,24.58
367,36.7,201.85,758,983,0,28,32.13
367,36.7,201.85,758,983,0,91,36.21
367,36.7,201.85,758,983,0.3,7,25.4
367,36.7,201.85,758,983,0.3,28,35.6
367,36.7,201.85,758,983,0.3,91,38.66
327,65.4,196.2,758,983,0,7,23.15
327,65.4,196.2,758,983,0,28,35.19
327,65.4,196.2,758,983,0,91,45.29
327,65.4,196.2,758,983,0.4,7,21.22
327,65.4,196.2,758,983,0.4,28,36.62
327,65.4,196.2,758,983,0.4,91,53.96
513,0,143.64,720,1005,2,28,70.89
513,0,143.64,720,1005,2,90,75.79
468,34,140.56,730,1020,2.05,28,76.4
468,34,140.56,730,1020,2.05,90,83.74
448,0,143.36,765,1005,1.2,28,58.96
448,0,143.36,765,1005,1.2,90,68.03
401,29,137.6,765,1000,1.88,28,67.32
401,29,137.6,765,1000,1.88,90,73.64
393,0,157.2,785,975,0.9,28,52.22
393,0,157.2,785,975,0.9,90,57.83
358,26,153.6,795,980,0.91,28,53.04
358,26,153.6,795,980,0.91,90,58.45
339,0,169.5,845,990,0,28,37.74
339,0,169.5,845,990,0,90,44.78
322,23,172.5,775,1045,0,28,41.51
322,23,172.5,775,1045,0,90,45.59
383,0,202.99,575,1150,0,7,27.2
383,0,202.99,575,1150,0,14,32.3
383,0,202.99,575,1150,0,28,37.1
383,0,202.99,575,1150,0,90,38.3
364,19,202.99,575,1150,0,7,27.6
364,19,202.99,575,1150,0,14,34.2
364,19,202.99,575,1150,0,28,40
364,19,202.99,575,1150,0,90,43.3
345,38,202.99,575,1150,0,7,28
345,38,202.99,575,1150,0,14,35.3
345,38,202.99,575,1150,0,28,41.3
345,38,202.99,575,1150,0,90,44.8
326,57,202.99,575,1150,0,7,29.3
326,57,202.99,575,1150,0,14,36
326,57,202.99,575,1150,0,28,41.8
326,57,202.99,575,1150,0,90,45.7
306,77,202.99,575,1150,0,7,29.7
306,77,202.99,575,1150,0,14,39.3
306,77,202.99,575,1150,0,28,42.5
306,77,202.99,575,1150,0,90,46
